MAKESPAN,OCC,WL
41.3113,82.49359500000003,710.2383
42.0494,83.441304,667.1048
40.6024,83.91565799999998,575.7427
41.8253,81.89290799999999,647.4134
36.4425,76.76496899999998,484.1155
45.051,85.434075,654.9113
48.8043,91.02901499999999,1051.2813
39.2542,84.343095,692.8856
40.8961,83.32964999999996,702.809
46.6928,89.18439299999997,635.9832
37.7445,80.32140899999999,413.0744
42.1512,84.00580199999999,592.5216
41.0531,85.082688,536.6617
46.4025,90.897741,760.834
40.7022,82.615275,526.5128
46.0849,87.12047700000001,827.1628
38.4812,78.85762199999996,546.2596
42.6624,86.83334999999997,1074.5786
45.1674,91.01216699999998,884.6266
43.0278,87.605037,791.6567
44.4654,87.46023600000001,816.9595
37.0416,77.94195299999997,368.8624
43.6225,86.43691799999999,642.2394
38.058,80.04279600000004,470.2671
43.1933,83.33721899999999,980.065
51.2899,94.199742,1083.7974
44.1081,89.19185399999999,790.083
46.4577,88.841421,858.8163
46.557,88.66818900000003,700.8499
41.3446,83.561013,472.7829
39.0023,81.07021799999998,609.3695
44.4964,91.28800800000002,813.8405
42.9727,84.00076199999998,737.5769
42.8047,89.98911899999999,733.1703
38.707,79.57786499999999,613.0358
41.8445,88.855695,556.1049
40.7694,82.82592899999996,624.9597
49.7823,92.20559399999999,1105.957
42.8723,83.817576,566.9189
45.9369,85.745304,603.4624
47.1984,87.73139699999999,846.241
38.3229,82.82590200000001,625.4686
41.0002,81.05384699999999,533.2171
46.1014,88.100766,812.7138
40.962,81.751059,464.8316
38.1394,80.37744299999997,602.5295
40.2362,83.34332099999997,614.4399
42.4952,84.15162000000001,582.5344
46.6366,90.708453,889.6858
42.303,84.39012000000001,518.9356
36.5548,77.87813400000002,467.4402
45.2813,87.874191,867.66
39.1341,86.289894,485.1783
41.7605,83.40947099999997,507.2746
41.8883,81.748809,470.1032
37.3961,77.30949599999998,487.1762
41.6894,82.71692099999997,700.2232
48.1906,92.35037700000001,823.2398
41.106,85.171365,764.7092
49.6328,91.62821699999998,1066.4174
39.1751,79.73533799999998,559.8188
37.9286,80.37070199999997,445.1734
40.6556,82.21733999999998,626.6083
40.6228,83.61536399999997,676.264
53.5577,96.11229599999999,1072.5139
46.2568,90.68553,917.0583
42.8022,83.80519199999996,573.2981
42.981,86.89661100000004,800.3288
39.9821,81.96078600000001,517.9455
46.7328,86.44160699999999,996.138
45.8802,90.11444399999999,778.5364
47.0352,87.39716399999998,858.2393
40.0643,80.59183199999995,623.368
43.1334,88.06684499999999,751.1995
42.4639,84.15390599999999,527.6307
42.6192,85.33808999999998,823.0221
44.0394,86.88689099999999,862.3902
44.473,90.01727999999997,775.3987
37.8256,80.50569300000001,561.9458
46.934,93.087297,727.3025
47.2652,90.657135,698.3082
43.9742,86.83039799999997,709.6249
46.1085,87.259005,728.7691
39.8719,82.01825999999997,648.6153
45.73,87.08740199999998,780.2204
36.5606,77.863833,428.8389
37.8921,81.466587,445.267
40.2954,82.63722599999998,640.8304
43.754,86.033628,613.1618
42.7814,86.94539099999997,499.9569
42.4293,81.647082,706.7491
48.5521,91.16694000000001,1010.8903
50.377,93.883005,947.6149
44.5285,89.73998999999998,768.9663
44.5268,85.15491299999998,930.0617
41.6801,84.85529399999999,598.4418
43.293,83.19561299999998,677.308
52.6341,100.449747,1001.6507
36.7131,80.61365699999999,331.132
51.016,95.282523,1033.2899
45.0305,88.35228,611.6872
36.9758,80.87009399999997,427.7827
48.271,90.89337599999999,843.1342
44.9268,87.49965599999999,635.6969
41.8958,82.92301199999999,686.243
38.8722,79.12884600000001,579.9114
39.5764,79.909641,506.6628
58.2503,97.702731,1269.3604
41.2311,80.887194,643.8065
44.5551,86.379993,647.8246
47.7407,90.11786399999997,904.1955
40.981,82.52550899999997,702.254
47.5499,90.95759099999998,679.7312
45.2498,87.57692100000003,878.6586
50.7256,97.94453399999998,950.1724
41.5501,83.45298599999998,553.8236
39.9486,80.27459100000002,433.2566
44.8573,89.13251699999998,777.3142
37.5363,81.61438499999997,435.6897
38.2903,79.845246,533.5264
45.5308,87.57248399999996,770.6456
50.7321,91.70641799999999,733.1975
37.8048,82.89672299999998,599.3177
49.0428,94.19084999999998,831.2963
45.8133,89.67920399999997,843.9537
41.9978,87.667857,723.3606
47.3095,89.47568699999997,1062.5375
44.3833,87.080976,552.6263
49.7153,93.591225,759.6658
42.9901,86.764104,631.2015
38.5904,80.60660099999998,522.1405
44.9126,89.22805199999999,754.0837
44.4824,87.14473199999998,817.4227
45.705,92.852352,742.7702
37.7052,77.26822199999998,638.7385
43.7051,87.24438899999996,681.0079
38.8179,83.72403,594.4335
47.0688,86.27995800000001,644.9363
45.2684,85.209183,758.8386
41.4719,82.86064199999998,554.5692
40.0122,83.65833899999998,480.9486
52.1139,93.44081700000001,1080.147
40.6932,82.14498899999998,661.2682
45.3975,86.76855,755.5119
42.4688,86.62338899999997,726.7118
38.6975,82.56072599999999,580.1726
40.5979,80.07941699999999,731.7418
46.3124,87.29792999999998,715.8835
40.8087,80.98784999999998,673.5378
42.6173,86.42753099999999,697.0138
47.7487,87.91732799999998,795.7044
52.5623,93.88997999999998,1240.9134
36.6827,78.57628199999999,413.0707
41.5595,86.817114,604.2265
39.1342,79.08114599999996,532.5521
37.1712,80.30172599999997,376.3363
41.6624,83.35147499999997,667.14
46.1615,88.322364,1061.2534
44.592,86.06830499999998,843.185
43.2574,87.31806299999998,687.2339
40.9423,81.81716399999999,437.662
41.1879,82.32372899999997,447.4383
49.1059,90.12676499999998,973.4996
44.1343,87.22680299999999,696.9858
47.5769,88.14316500000001,878.7463
42.8196,85.86124199999998,809.5245
41.6899,83.871702,752.831
48.6365,88.681437,864.6222
40.823,85.167846,642.6586
51.8171,94.24718999999999,911.0598
46.8974,91.62187200000001,919.1743
48.5371,91.26481499999997,968.2782
36.3923,78.88135499999999,369.5193
37.506,80.50641299999998,472.4945
47.363,88.557264,880.2611
41.6109,85.588029,682.3432
42.4782,87.09249599999998,490.8892
43.5046,85.30769700000002,709.1279
42.864,87.32923199999996,669.2089
39.6808,85.11162300000001,526.3313
43.4969,83.96442899999997,887.8095
49.0056,93.853296,1148.3818
42.8049,86.83524,735.1778
48.2439,92.91917699999996,811.6393
43.8765,84.44781899999998,854.701
39.8975,86.56717499999998,643.4352
41.0394,81.96554699999996,560.1102
45.219,86.946804,681.3756
46.9114,91.95336899999998,772.7634
39.7285,82.43586899999997,587.2743
42.6852,89.59248,618.8247
48.9345,92.89790099999996,1045.2257
38.5901,81.65390399999998,546.1192
48.4084,90.94121999999999,913.1855
39.3233,82.010115,575.2117
42.431,84.06791999999999,483.0929
39.4243,84.94622099999998,586.4002
40.0176,83.025243,638.605
43.8822,87.535728,854.189
46.9823,86.09834699999999,729.2507
43.7293,86.46653700000002,817.2989
43.4024,84.66086699999997,848.4356
39.9308,83.66607899999998,641.5094
45.1305,89.39338199999997,750.8238
38.8123,80.58348,516.9347
44.3996,85.71824099999998,556.9348
37.8077,77.83116299999998,289.7855
44.327,85.98953700000001,711.5833
38.2914,82.65183299999997,506.6975
45.1082,89.236341,647.3784
38.5289,84.49441199999998,632.5264
46.3397,91.18571399999999,825.977
37.6702,81.88393500000001,437.0439
41.3123,81.12826799999999,564.1568
41.3204,82.18807199999998,489.44
39.388,80.05039199999999,551.1974
43.558,86.90488200000001,712.4893
46.4439,88.702722,739.7265
34.7387,78.81061500000001,377.3923
44.548,88.48980900000001,703.0534
56.3123,102.27750300000001,1218.9501
43.4579,86.16144599999998,610.4103
42.2011,86.48921699999997,594.846
51.0153,92.214342,1029.7921
50.7949,93.38261400000002,1279.2585
39.2186,82.78218000000001,528.1545
40.7156,83.582325,747.4408
40.9652,81.923877,765.0701
41.5738,85.488867,493.3267
35.5922,76.684878,411.0908
43.6505,86.04180900000001,749.1636
43.6654,86.66247599999996,765.4005
41.1415,82.51832699999997,497.987
38.8823,84.038436,505.2306
46.4984,91.682352,1106.2857
41.6226,85.86205199999999,569.4982
47.1586,88.84488599999997,726.5798
37.9983,77.77582199999998,435.0906
41.1304,85.20126299999998,736.7191
44.5546,87.569271,813.8703
42.6809,84.75890399999997,797.6233
42.0349,84.45606299999999,586.7804
53.1383,97.89146100000002,1200.0562
44.3741,86.60216699999998,846.1334
38.6781,80.644464,510.6491
46.0639,90.61843499999995,839.5158
39.9117,82.92977099999997,812.9906
44.2138,88.50735900000001,675.3642
42.7696,83.850777,670.4271
41.2754,86.20251299999998,819.0229
40.7018,86.24533500000001,578.3467
42.1621,86.84526599999998,857.051
40.6489,85.86311399999998,544.238
41.3558,84.40733699999997,776.2844
43.2678,86.811048,647.7087
40.7455,84.06056700000002,540.0291
