2023-08-06 11:23:51:	logging to outputs/2023-08-06/11-23-49/sac_discrete/Training/Logs\2023-08-06-11-23-0-16832
2023-08-06 11:23:51:	saved parameters.txt to outputs/2023-08-06/11-23-49/sac_discrete/Training/Logs\2023-08-06-11-23-0-16832\parameters.txt
2023-08-06 11:23:51:	Initializing Environment
2023-08-06 11:23:51:	Initializing Buffer
2023-08-06 11:23:51:	Initializing Agent
2023-08-06 11:23:51:	Initializing Trainer
2023-08-06 11:23:51:	Started training
2023-08-06 11:24:47:	Timestep:2000	Evaluation return -14.862512
2023-08-06 11:26:47:	Timestep:3000	Evaluation return -9.022322
2023-08-06 11:28:53:	Timestep:4000	Evaluation return -9.052738
2023-08-06 11:30:53:	Timestep:5000	Evaluation return -9.041864
2023-08-06 11:32:49:	Timestep:6000	Evaluation return -8.933385
2023-08-06 11:34:55:	Timestep:7000	Evaluation return -9.404569
2023-08-06 11:37:04:	Timestep:8000	Evaluation return -9.193073
2023-08-06 11:39:03:	Timestep:9000	Evaluation return -9.138270
2023-08-06 11:41:16:	Timestep:10000	Evaluation return -9.038928
2023-08-06 11:43:26:	Timestep:11000	Evaluation return -9.153139
2023-08-06 11:46:14:	Timestep:12000	Evaluation return -9.696125
2023-08-06 11:48:55:	Timestep:13000	Evaluation return -9.502742
2023-08-06 11:51:46:	Timestep:14000	Evaluation return -9.200803
2023-08-06 11:54:37:	Timestep:15000	Evaluation return -9.047468
2023-08-06 11:57:26:	Timestep:16000	Evaluation return -9.227220
2023-08-06 12:00:17:	Timestep:17000	Evaluation return -9.161433
2023-08-06 12:03:09:	Timestep:18000	Evaluation return -8.915250
2023-08-06 12:06:00:	Timestep:19000	Evaluation return -9.164292
2023-08-06 12:08:51:	Timestep:20000	Evaluation return -9.180395
2023-08-06 12:11:43:	Timestep:21000	Evaluation return -8.922235
2023-08-06 12:14:38:	Timestep:22000	Evaluation return -9.154707
2023-08-06 12:17:36:	Timestep:23000	Evaluation return -8.843813
2023-08-06 12:20:34:	Timestep:24000	Evaluation return -8.875801
2023-08-06 12:23:25:	Timestep:25000	Evaluation return -8.820143
2023-08-06 12:26:23:	Timestep:26000	Evaluation return -8.847929
2023-08-06 12:29:14:	Timestep:27000	Evaluation return -9.103422
2023-08-06 12:32:21:	Timestep:28000	Evaluation return -8.858042
2023-08-06 12:35:13:	Timestep:29000	Evaluation return -8.997023
2023-08-06 12:38:06:	Timestep:30000	Evaluation return -8.975811
2023-08-06 12:41:12:	Timestep:31000	Evaluation return -8.818929
2023-08-06 12:44:00:	Timestep:32000	Evaluation return -8.873870
2023-08-06 12:46:46:	Timestep:33000	Evaluation return -8.838694
2023-08-06 12:49:31:	Timestep:34000	Evaluation return -8.692077
2023-08-06 12:52:24:	Timestep:35000	Evaluation return -8.878143
2023-08-06 12:55:13:	Timestep:36000	Evaluation return -8.914015
2023-08-06 12:57:59:	Timestep:37000	Evaluation return -8.761744
2023-08-06 13:00:40:	Timestep:38000	Evaluation return -8.942110
