2023-08-06 16:21:39:	logging to outputs/2023-08-06/16-21-36/sac_discrete/Training/Logs\2023-08-06-16-21-1-22220
2023-08-06 16:21:39:	saved parameters.txt to outputs/2023-08-06/16-21-36/sac_discrete/Training/Logs\2023-08-06-16-21-1-22220\parameters.txt
2023-08-06 16:21:39:	Initializing Environment
2023-08-06 16:21:39:	Initializing Buffer
2023-08-06 16:21:39:	Initializing Agent
2023-08-06 16:21:39:	Initializing Trainer
2023-08-06 16:21:39:	Started training
2023-08-06 16:22:37:	Timestep:2000	Evaluation return -14.680173
2023-08-06 16:24:53:	Timestep:3000	Evaluation return -9.101210
2023-08-06 16:27:08:	Timestep:4000	Evaluation return -8.936955
2023-08-06 16:29:15:	Timestep:5000	Evaluation return -9.113705
2023-08-06 16:31:26:	Timestep:6000	Evaluation return -8.939790
2023-08-06 16:33:45:	Timestep:7000	Evaluation return -8.814652
2023-08-06 16:36:24:	Timestep:8000	Evaluation return -8.486871
2023-08-06 16:38:46:	Timestep:9000	Evaluation return -8.839411
2023-08-06 16:41:13:	Timestep:10000	Evaluation return -9.025947
2023-08-06 16:43:31:	Timestep:11000	Evaluation return -8.890809
2023-08-06 16:45:49:	Timestep:12000	Evaluation return -9.093523
2023-08-06 16:48:06:	Timestep:13000	Evaluation return -8.822764
2023-08-06 16:50:27:	Timestep:14000	Evaluation return -9.049833
2023-08-06 16:52:41:	Timestep:15000	Evaluation return -8.840589
2023-08-06 16:55:14:	Timestep:16000	Evaluation return -9.041492
2023-08-06 16:57:48:	Timestep:17000	Evaluation return -8.930830
2023-08-06 17:00:16:	Timestep:18000	Evaluation return -8.844509
2023-08-06 17:03:06:	Timestep:19000	Evaluation return -8.735636
2023-08-06 17:05:48:	Timestep:20000	Evaluation return -8.806716
2023-08-06 17:08:22:	Timestep:21000	Evaluation return -9.004237
2023-08-06 17:10:47:	Timestep:22000	Evaluation return -9.093405
2023-08-06 17:13:08:	Timestep:23000	Evaluation return -8.958623
2023-08-06 17:15:40:	Timestep:24000	Evaluation return -8.971714
2023-08-06 17:18:15:	Timestep:25000	Evaluation return -9.098096
2023-08-06 17:21:01:	Timestep:26000	Evaluation return -8.718581
2023-08-06 17:23:30:	Timestep:27000	Evaluation return -9.172230
2023-08-06 17:25:58:	Timestep:28000	Evaluation return -8.955381
2023-08-06 17:28:25:	Timestep:29000	Evaluation return -9.043829
2023-08-06 17:30:59:	Timestep:30000	Evaluation return -8.792493
2023-08-06 17:33:33:	Timestep:31000	Evaluation return -8.856724
