2023-08-09 13:20:57:	logging to outputs/2023-08-09/13-20-55/sac_discrete/Training/Logs\2023-08-09-13-20-0-13360
2023-08-09 13:20:57:	saved parameters.txt to outputs/2023-08-09/13-20-55/sac_discrete/Training/Logs\2023-08-09-13-20-0-13360\parameters.txt
2023-08-09 13:20:57:	Initializing Environment
2023-08-09 13:20:57:	Initializing Buffer
2023-08-09 13:20:57:	Initializing Agent
2023-08-09 13:20:57:	Initializing Trainer
2023-08-09 13:20:57:	Started training
2023-08-09 13:21:54:	Timestep:2000	Evaluation return -15.098388
2023-08-09 13:23:09:	Timestep:3000	Evaluation return -9.032659
2023-08-09 13:24:51:	Timestep:4000	Evaluation return -8.767619
2023-08-09 13:26:11:	Timestep:5000	Evaluation return -8.979375
2023-08-09 13:28:02:	Timestep:6000	Evaluation return -9.039050
2023-08-09 13:30:06:	Timestep:7000	Evaluation return -8.680989
2023-08-09 13:32:14:	Timestep:8000	Evaluation return -8.726856
2023-08-09 13:34:15:	Timestep:9000	Evaluation return -8.766643
2023-08-09 13:36:18:	Timestep:10000	Evaluation return -8.794082
2023-08-09 13:38:23:	Timestep:11000	Evaluation return -8.929833
2023-08-09 13:40:23:	Timestep:12000	Evaluation return -8.865361
2023-08-09 13:42:18:	Timestep:13000	Evaluation return -8.886370
2023-08-09 13:44:25:	Timestep:14000	Evaluation return -8.547072
2023-08-09 13:46:24:	Timestep:15000	Evaluation return -8.560225
2023-08-09 13:48:21:	Timestep:16000	Evaluation return -8.737629
2023-08-09 13:50:29:	Timestep:17000	Evaluation return -8.569281
2023-08-09 13:52:28:	Timestep:18000	Evaluation return -8.701097
2023-08-09 13:54:36:	Timestep:19000	Evaluation return -8.740165
2023-08-09 13:56:41:	Timestep:20000	Evaluation return -8.741063
2023-08-09 13:58:42:	Timestep:21000	Evaluation return -8.795053
2023-08-09 14:00:43:	Timestep:22000	Evaluation return -8.646549
2023-08-09 14:02:40:	Timestep:23000	Evaluation return -8.751926
2023-08-09 14:04:39:	Timestep:24000	Evaluation return -8.680963
2023-08-09 14:06:50:	Timestep:25000	Evaluation return -8.676437
2023-08-09 14:08:52:	Timestep:26000	Evaluation return -8.673144
2023-08-09 14:11:08:	Timestep:27000	Evaluation return -8.793882
2023-08-09 14:13:09:	Timestep:28000	Evaluation return -8.776260
2023-08-09 14:15:15:	Timestep:29000	Evaluation return -8.732422
2023-08-09 14:17:10:	Timestep:30000	Evaluation return -8.801014
2023-08-09 14:19:06:	Timestep:31000	Evaluation return -8.554277
2023-08-09 14:21:07:	Timestep:32000	Evaluation return -9.123822
2023-08-09 14:23:09:	Timestep:33000	Evaluation return -8.831240
2023-08-09 14:25:11:	Timestep:34000	Evaluation return -8.858301
2023-08-09 14:27:12:	Timestep:35000	Evaluation return -8.867274
2023-08-09 14:29:18:	Timestep:36000	Evaluation return -8.659040
2023-08-09 14:31:20:	Timestep:37000	Evaluation return -8.805073
2023-08-09 14:33:19:	Timestep:38000	Evaluation return -8.707997
2023-08-09 14:35:24:	Timestep:39000	Evaluation return -8.723508
2023-08-09 14:37:27:	Timestep:40000	Evaluation return -8.804112
2023-08-09 14:39:23:	Timestep:41000	Evaluation return -8.641683
2023-08-09 14:41:36:	Timestep:42000	Evaluation return -8.690556
2023-08-09 14:43:38:	Timestep:43000	Evaluation return -8.869433
2023-08-09 14:45:41:	Timestep:44000	Evaluation return -8.640936
