2023-08-08 19:36:44:	logging to outputs/2023-08-08/13-56-37/sac_discrete_optuna/Training/Logs\2023-08-08-19-36-0-10328
2023-08-08 19:36:44:	saved parameters.txt to outputs/2023-08-08/13-56-37/sac_discrete_optuna/Training/Logs\2023-08-08-19-36-0-10328\parameters.txt
2023-08-08 19:36:44:	Initializing Environment
2023-08-08 19:36:44:	Initializing Buffer
2023-08-08 19:36:44:	Initializing Agent
2023-08-08 19:36:44:	Initializing Trainer
2023-08-08 19:36:44:	Started training
2023-08-08 19:37:30:	Timestep:2000	Evaluation return -10.555716
2023-08-08 19:38:45:	Timestep:3000	Evaluation return -10.894528
2023-08-08 19:40:03:	Timestep:4000	Evaluation return -10.818948
2023-08-08 19:41:23:	Timestep:5000	Evaluation return -10.769467
2023-08-08 19:42:40:	Timestep:6000	Evaluation return -10.649894
2023-08-08 19:44:09:	Timestep:7000	Evaluation return -10.769099
2023-08-08 19:45:29:	Timestep:8000	Evaluation return -10.612170
2023-08-08 19:47:00:	Timestep:9000	Evaluation return -10.399065
2023-08-08 19:48:29:	Timestep:10000	Evaluation return -10.397375
2023-08-08 19:49:59:	Timestep:11000	Evaluation return -10.630149
2023-08-08 19:51:30:	Timestep:12000	Evaluation return -10.944373
2023-08-08 19:53:04:	Timestep:13000	Evaluation return -10.848139
2023-08-08 19:54:35:	Timestep:14000	Evaluation return -11.002861
2023-08-08 19:56:09:	Timestep:15000	Evaluation return -10.526613
2023-08-08 19:57:38:	Timestep:16000	Evaluation return -11.170009
2023-08-08 19:59:10:	Timestep:17000	Evaluation return -10.867072
2023-08-08 20:00:42:	Timestep:18000	Evaluation return -10.866179
2023-08-08 20:02:21:	Timestep:19000	Evaluation return -11.106282
2023-08-08 20:03:53:	Timestep:20000	Evaluation return -10.909915
2023-08-08 20:05:37:	Timestep:21000	Evaluation return -10.669869
2023-08-08 20:07:28:	Timestep:22000	Evaluation return -11.495824
2023-08-08 20:09:09:	Timestep:23000	Evaluation return -11.236513
2023-08-08 20:10:48:	Timestep:24000	Evaluation return -10.949553
2023-08-08 20:12:38:	Timestep:25000	Evaluation return -10.990169
2023-08-08 20:14:08:	Timestep:26000	Evaluation return -10.753350
2023-08-08 20:15:42:	Timestep:27000	Evaluation return -11.297372
2023-08-08 20:17:23:	Timestep:28000	Evaluation return -10.883069
2023-08-08 20:19:08:	Timestep:29000	Evaluation return -10.679766
2023-08-08 20:20:42:	Timestep:30000	Evaluation return -10.684572
2023-08-08 20:22:23:	Timestep:31000	Evaluation return -10.759823
2023-08-08 20:24:12:	Timestep:32000	Evaluation return -11.112432
2023-08-08 20:26:06:	Timestep:33000	Evaluation return -10.804648
2023-08-08 20:27:49:	Timestep:34000	Evaluation return -11.372635
2023-08-08 20:29:40:	Timestep:35000	Evaluation return -10.952026
2023-08-08 20:31:27:	Timestep:36000	Evaluation return -11.266920
2023-08-08 20:33:14:	Timestep:37000	Evaluation return -11.089348
2023-08-08 20:34:59:	Timestep:38000	Evaluation return -10.959325
2023-08-08 20:36:58:	Timestep:39000	Evaluation return -11.196223
2023-08-08 20:38:45:	Timestep:40000	Evaluation return -10.936826
2023-08-08 20:40:40:	Timestep:41000	Evaluation return -11.010070
2023-08-08 20:42:32:	Timestep:42000	Evaluation return -10.504166
2023-08-08 20:44:17:	Timestep:43000	Evaluation return -10.642693
2023-08-08 20:45:52:	Timestep:44000	Evaluation return -10.986016
2023-08-08 20:47:30:	Timestep:45000	Evaluation return -10.899386
2023-08-08 20:49:18:	Timestep:46000	Evaluation return -10.885207
2023-08-08 20:51:06:	Timestep:47000	Evaluation return -10.823907
2023-08-08 20:52:51:	Timestep:48000	Evaluation return -10.864383
2023-08-08 20:54:44:	Timestep:49000	Evaluation return -10.780015
2023-08-08 20:56:34:	Timestep:50000	Evaluation return -10.978872
2023-08-08 20:58:19:	Timestep:51000	Evaluation return -11.150609
2023-08-08 21:00:10:	Timestep:52000	Evaluation return -11.057125
2023-08-08 21:02:03:	Timestep:53000	Evaluation return -10.750356
2023-08-08 21:03:50:	Timestep:54000	Evaluation return -10.782532
2023-08-08 21:05:43:	Timestep:55000	Evaluation return -10.602591
2023-08-08 21:07:33:	Timestep:56000	Evaluation return -10.561565
2023-08-08 21:09:27:	Timestep:57000	Evaluation return -10.566609
2023-08-08 21:11:17:	Timestep:58000	Evaluation return -10.486641
2023-08-08 21:13:01:	Timestep:59000	Evaluation return -10.911015
2023-08-08 21:14:51:	Timestep:60000	Evaluation return -11.042389
2023-08-08 21:16:35:	Timestep:61000	Evaluation return -11.354964
2023-08-08 21:18:20:	Timestep:62000	Evaluation return -10.820724
2023-08-08 21:21:03:	Timestep:63000	Evaluation return -11.007079
2023-08-08 21:23:53:	Timestep:64000	Evaluation return -11.022911
2023-08-08 21:27:00:	Timestep:65000	Evaluation return -10.798483
2023-08-08 21:30:13:	Timestep:66000	Evaluation return -10.880006
2023-08-08 21:32:30:	Timestep:67000	Evaluation return -10.880223
2023-08-08 21:34:54:	Timestep:68000	Evaluation return -10.844831
2023-08-08 21:37:01:	Timestep:69000	Evaluation return -10.775913
2023-08-08 21:39:05:	Timestep:70000	Evaluation return -10.979933
2023-08-08 21:40:54:	Timestep:71000	Evaluation return -10.723234
2023-08-08 21:42:35:	Timestep:72000	Evaluation return -10.732581
2023-08-08 21:44:24:	Timestep:73000	Evaluation return -10.711494
2023-08-08 21:46:03:	Timestep:74000	Evaluation return -11.195293
2023-08-08 21:47:55:	Timestep:75000	Evaluation return -10.685951
2023-08-08 21:49:47:	Timestep:76000	Evaluation return -11.269713
2023-08-08 21:51:32:	Timestep:77000	Evaluation return -11.358983
2023-08-08 21:53:19:	Timestep:78000	Evaluation return -10.735087
2023-08-08 21:55:04:	Timestep:79000	Evaluation return -11.027866
2023-08-08 21:56:50:	Timestep:80000	Evaluation return -10.706032
2023-08-08 21:58:36:	Timestep:81000	Evaluation return -11.047144
2023-08-08 22:00:32:	Timestep:82000	Evaluation return -10.773005
2023-08-08 22:02:24:	Timestep:83000	Evaluation return -11.026787
2023-08-08 22:04:15:	Timestep:84000	Evaluation return -10.748584
2023-08-08 22:06:14:	Timestep:85000	Evaluation return -11.036295
2023-08-08 22:08:07:	Timestep:86000	Evaluation return -10.826981
2023-08-08 22:09:59:	Timestep:87000	Evaluation return -11.089442
2023-08-08 22:11:56:	Timestep:88000	Evaluation return -11.298839
2023-08-08 22:13:50:	Timestep:89000	Evaluation return -10.848383
2023-08-08 22:15:40:	Timestep:90000	Evaluation return -11.340974
2023-08-08 22:17:30:	Timestep:91000	Evaluation return -11.408002
2023-08-08 22:19:20:	Timestep:92000	Evaluation return -11.054062
2023-08-08 22:21:17:	Timestep:93000	Evaluation return -10.683199
2023-08-08 22:23:49:	Timestep:94000	Evaluation return -10.835473
2023-08-08 22:25:47:	Timestep:95000	Evaluation return -11.095627
2023-08-08 22:27:42:	Timestep:96000	Evaluation return -11.083036
2023-08-08 22:29:39:	Timestep:97000	Evaluation return -11.178504
2023-08-08 22:31:36:	Timestep:98000	Evaluation return -11.076993
2023-08-08 22:33:43:	Timestep:99000	Evaluation return -11.223246
2023-08-08 22:35:45:	Timestep:100000	Evaluation return -10.782471
