2023-08-08 15:11:15:	logging to outputs/2023-08-08/15-11-13/sac_discrete_optuna/Training/Logs\2023-08-08-15-11-1-9620
2023-08-08 15:11:15:	saved parameters.txt to outputs/2023-08-08/15-11-13/sac_discrete_optuna/Training/Logs\2023-08-08-15-11-1-9620\parameters.txt
2023-08-08 15:11:15:	Initializing Environment
2023-08-08 15:11:15:	Initializing Buffer
2023-08-08 15:11:15:	Initializing Agent
2023-08-08 15:11:15:	Initializing Trainer
2023-08-08 15:11:15:	Started training
2023-08-08 15:12:10:	Timestep:2000	Evaluation return -12.956453
2023-08-08 15:13:34:	Timestep:3000	Evaluation return -9.276121
2023-08-08 15:14:58:	Timestep:4000	Evaluation return -9.226330
2023-08-08 15:16:19:	Timestep:5000	Evaluation return -9.299231
2023-08-08 15:17:33:	Timestep:6000	Evaluation return -9.440642
2023-08-08 15:18:45:	Timestep:7000	Evaluation return -9.380185
2023-08-08 15:20:03:	Timestep:8000	Evaluation return -9.291580
2023-08-08 15:21:18:	Timestep:9000	Evaluation return -9.151934
2023-08-08 15:22:31:	Timestep:10000	Evaluation return -8.988606
2023-08-08 15:23:43:	Timestep:11000	Evaluation return -8.979176
2023-08-08 15:25:01:	Timestep:12000	Evaluation return -9.054499
2023-08-08 15:26:18:	Timestep:13000	Evaluation return -8.896148
2023-08-08 15:27:38:	Timestep:14000	Evaluation return -8.995954
2023-08-08 15:28:56:	Timestep:15000	Evaluation return -8.787379
2023-08-08 15:30:17:	Timestep:16000	Evaluation return -8.866154
2023-08-08 15:31:36:	Timestep:17000	Evaluation return -8.775432
2023-08-08 15:32:54:	Timestep:18000	Evaluation return -8.949288
2023-08-08 15:34:14:	Timestep:19000	Evaluation return -8.907017
2023-08-08 15:35:42:	Timestep:20000	Evaluation return -8.723135
2023-08-08 15:37:05:	Timestep:21000	Evaluation return -8.802416
2023-08-08 15:38:28:	Timestep:22000	Evaluation return -8.866779
2023-08-08 15:39:51:	Timestep:23000	Evaluation return -8.904411
2023-08-08 15:41:11:	Timestep:24000	Evaluation return -8.945272
2023-08-08 15:42:28:	Timestep:25000	Evaluation return -8.800582
2023-08-08 15:43:49:	Timestep:26000	Evaluation return -8.736894
2023-08-08 15:45:05:	Timestep:27000	Evaluation return -9.068669
2023-08-08 15:46:29:	Timestep:28000	Evaluation return -9.065300
2023-08-08 15:47:51:	Timestep:29000	Evaluation return -8.881742
2023-08-08 15:49:10:	Timestep:30000	Evaluation return -8.910415
2023-08-08 15:50:30:	Timestep:31000	Evaluation return -8.894303
2023-08-08 15:51:47:	Timestep:32000	Evaluation return -8.866189
2023-08-08 15:53:12:	Timestep:33000	Evaluation return -8.874043
2023-08-08 15:54:56:	Timestep:34000	Evaluation return -9.049690
2023-08-08 15:56:32:	Timestep:35000	Evaluation return -9.091507
2023-08-08 15:58:11:	Timestep:36000	Evaluation return -9.091184
2023-08-08 15:59:51:	Timestep:37000	Evaluation return -9.169289
2023-08-08 16:01:14:	Timestep:38000	Evaluation return -9.049838
2023-08-08 16:02:43:	Timestep:39000	Evaluation return -9.004408
2023-08-08 16:04:10:	Timestep:40000	Evaluation return -9.121773
2023-08-08 16:05:42:	Timestep:41000	Evaluation return -9.286580
2023-08-08 16:07:08:	Timestep:42000	Evaluation return -9.176461
2023-08-08 16:08:35:	Timestep:43000	Evaluation return -9.111449
2023-08-08 16:10:14:	Timestep:44000	Evaluation return -9.275331
2023-08-08 16:11:57:	Timestep:45000	Evaluation return -9.254651
2023-08-08 16:13:36:	Timestep:46000	Evaluation return -9.422810
2023-08-08 16:15:07:	Timestep:47000	Evaluation return -9.401991
2023-08-08 16:16:33:	Timestep:48000	Evaluation return -9.412008
2023-08-08 16:17:57:	Timestep:49000	Evaluation return -9.265437
2023-08-08 16:19:30:	Timestep:50000	Evaluation return -9.408114
2023-08-08 16:20:58:	Timestep:51000	Evaluation return -9.460945
2023-08-08 16:22:30:	Timestep:52000	Evaluation return -9.152022
2023-08-08 16:24:31:	Timestep:53000	Evaluation return -9.467685
2023-08-08 16:26:22:	Timestep:54000	Evaluation return -9.258172
2023-08-08 16:28:03:	Timestep:55000	Evaluation return -9.180487
2023-08-08 16:29:56:	Timestep:56000	Evaluation return -9.484973
2023-08-08 16:31:39:	Timestep:57000	Evaluation return -9.469726
2023-08-08 16:33:18:	Timestep:58000	Evaluation return -9.375298
2023-08-08 16:35:06:	Timestep:59000	Evaluation return -9.484157
2023-08-08 16:36:37:	Timestep:60000	Evaluation return -9.419781
2023-08-08 16:38:11:	Timestep:61000	Evaluation return -9.423230
2023-08-08 16:40:00:	Timestep:62000	Evaluation return -9.363046
2023-08-08 16:42:08:	Timestep:63000	Evaluation return -9.317977
2023-08-08 16:44:07:	Timestep:64000	Evaluation return -9.436223
2023-08-08 16:46:05:	Timestep:65000	Evaluation return -9.091884
2023-08-08 16:48:20:	Timestep:66000	Evaluation return -9.450114
2023-08-08 16:50:32:	Timestep:67000	Evaluation return -9.268714
2023-08-08 16:52:39:	Timestep:68000	Evaluation return -9.335753
2023-08-08 16:55:04:	Timestep:69000	Evaluation return -9.135464
2023-08-08 16:57:15:	Timestep:70000	Evaluation return -9.326524
2023-08-08 16:59:42:	Timestep:71000	Evaluation return -9.395416
2023-08-08 17:02:02:	Timestep:72000	Evaluation return -9.013338
2023-08-08 17:03:50:	Timestep:73000	Evaluation return -8.933527
2023-08-08 17:05:42:	Timestep:74000	Evaluation return -8.856683
2023-08-08 17:07:30:	Timestep:75000	Evaluation return -9.043215
2023-08-08 17:09:16:	Timestep:76000	Evaluation return -8.797410
2023-08-08 17:11:07:	Timestep:77000	Evaluation return -8.865454
2023-08-08 17:12:50:	Timestep:78000	Evaluation return -8.943598
2023-08-08 17:14:26:	Timestep:79000	Evaluation return -8.901668
2023-08-08 17:16:00:	Timestep:80000	Evaluation return -8.865404
2023-08-08 17:17:41:	Timestep:81000	Evaluation return -8.996945
2023-08-08 17:19:39:	Timestep:82000	Evaluation return -8.817655
2023-08-08 17:21:22:	Timestep:83000	Evaluation return -8.981275
2023-08-08 17:23:06:	Timestep:84000	Evaluation return -9.049899
2023-08-08 17:24:45:	Timestep:85000	Evaluation return -8.925005
2023-08-08 17:26:38:	Timestep:86000	Evaluation return -8.941207
2023-08-08 17:28:14:	Timestep:87000	Evaluation return -9.044024
2023-08-08 17:30:00:	Timestep:88000	Evaluation return -8.865974
2023-08-08 17:31:39:	Timestep:89000	Evaluation return -8.938813
2023-08-08 17:33:19:	Timestep:90000	Evaluation return -8.776259
2023-08-08 17:34:58:	Timestep:91000	Evaluation return -9.064916
2023-08-08 17:36:37:	Timestep:92000	Evaluation return -8.968245
2023-08-08 17:38:17:	Timestep:93000	Evaluation return -8.732229
2023-08-08 17:40:01:	Timestep:94000	Evaluation return -8.771297
2023-08-08 17:41:51:	Timestep:95000	Evaluation return -8.936574
2023-08-08 17:43:41:	Timestep:96000	Evaluation return -8.907335
2023-08-08 17:45:26:	Timestep:97000	Evaluation return -8.938077
2023-08-08 17:47:08:	Timestep:98000	Evaluation return -8.888492
2023-08-08 17:48:50:	Timestep:99000	Evaluation return -8.856558
2023-08-08 17:50:29:	Timestep:100000	Evaluation return -8.875893
