2023-08-09 13:21:37:	logging to outputs/2023-08-09/13-21-36/sac_discrete/Training/Logs\2023-08-09-13-21-0-9380
2023-08-09 13:21:37:	saved parameters.txt to outputs/2023-08-09/13-21-36/sac_discrete/Training/Logs\2023-08-09-13-21-0-9380\parameters.txt
2023-08-09 13:21:37:	Initializing Environment
2023-08-09 13:21:37:	Initializing Buffer
2023-08-09 13:21:38:	Initializing Agent
2023-08-09 13:21:38:	Initializing Trainer
2023-08-09 13:21:38:	Started training
2023-08-09 13:22:17:	Timestep:2000	Evaluation return -16.189522
2023-08-09 13:23:18:	Timestep:3000	Evaluation return -10.503930
2023-08-09 13:24:20:	Timestep:4000	Evaluation return -10.477643
2023-08-09 13:25:22:	Timestep:5000	Evaluation return -10.205506
2023-08-09 13:26:37:	Timestep:6000	Evaluation return -10.868188
2023-08-09 13:27:50:	Timestep:7000	Evaluation return -10.706469
2023-08-09 13:29:08:	Timestep:8000	Evaluation return -10.834429
2023-08-09 13:30:37:	Timestep:9000	Evaluation return -11.348684
2023-08-09 13:31:54:	Timestep:10000	Evaluation return -11.329472
2023-08-09 13:33:08:	Timestep:11000	Evaluation return -11.209223
2023-08-09 13:34:27:	Timestep:12000	Evaluation return -10.830725
2023-08-09 13:35:37:	Timestep:13000	Evaluation return -10.831280
2023-08-09 13:36:50:	Timestep:14000	Evaluation return -11.150681
2023-08-09 13:38:18:	Timestep:15000	Evaluation return -11.179377
2023-08-09 13:39:54:	Timestep:16000	Evaluation return -10.997876
2023-08-09 13:41:26:	Timestep:17000	Evaluation return -10.847222
2023-08-09 13:42:59:	Timestep:18000	Evaluation return -10.905700
2023-08-09 13:44:28:	Timestep:19000	Evaluation return -10.866695
2023-08-09 13:46:01:	Timestep:20000	Evaluation return -10.709904
2023-08-09 13:47:34:	Timestep:21000	Evaluation return -10.920445
2023-08-09 13:49:06:	Timestep:22000	Evaluation return -11.240859
2023-08-09 13:50:42:	Timestep:23000	Evaluation return -10.577756
2023-08-09 13:52:14:	Timestep:24000	Evaluation return -10.927590
2023-08-09 13:53:49:	Timestep:25000	Evaluation return -10.736723
2023-08-09 13:55:25:	Timestep:26000	Evaluation return -10.709616
2023-08-09 13:57:02:	Timestep:27000	Evaluation return -10.927641
2023-08-09 13:58:36:	Timestep:28000	Evaluation return -10.767518
2023-08-09 14:00:14:	Timestep:29000	Evaluation return -10.968784
2023-08-09 14:01:50:	Timestep:30000	Evaluation return -10.475942
2023-08-09 14:03:26:	Timestep:31000	Evaluation return -10.651612
2023-08-09 14:05:04:	Timestep:32000	Evaluation return -10.721292
2023-08-09 14:06:41:	Timestep:33000	Evaluation return -10.608216
2023-08-09 14:08:25:	Timestep:34000	Evaluation return -10.801725
2023-08-09 14:10:02:	Timestep:35000	Evaluation return -10.926269
2023-08-09 14:11:45:	Timestep:36000	Evaluation return -10.633864
2023-08-09 14:13:27:	Timestep:37000	Evaluation return -11.070160
2023-08-09 14:15:10:	Timestep:38000	Evaluation return -10.585658
2023-08-09 14:16:50:	Timestep:39000	Evaluation return -10.929137
2023-08-09 14:18:26:	Timestep:40000	Evaluation return -10.293142
2023-08-09 14:20:07:	Timestep:41000	Evaluation return -10.590136
2023-08-09 14:21:42:	Timestep:42000	Evaluation return -10.548998
2023-08-09 14:23:25:	Timestep:43000	Evaluation return -10.686925
2023-08-09 14:25:04:	Timestep:44000	Evaluation return -10.372733
2023-08-09 14:26:34:	Timestep:45000	Evaluation return -10.637951
2023-08-09 14:28:11:	Timestep:46000	Evaluation return -10.482976
2023-08-09 14:29:43:	Timestep:47000	Evaluation return -10.616635
2023-08-09 14:31:16:	Timestep:48000	Evaluation return -10.636439
2023-08-09 14:32:49:	Timestep:49000	Evaluation return -10.606677
2023-08-09 14:34:17:	Timestep:50000	Evaluation return -10.607881
