2023-08-05 18:45:17:	logging to outputs/2023-08-05/18-45-12/sac_discrete/Training/Logs\2023-08-05-18-45-0-6804
2023-08-05 18:45:17:	saved parameters.txt to outputs/2023-08-05/18-45-12/sac_discrete/Training/Logs\2023-08-05-18-45-0-6804\parameters.txt
2023-08-05 18:45:17:	Initializing Environment
2023-08-05 18:45:17:	Initializing Buffer
2023-08-05 18:45:17:	Initializing Agent
2023-08-05 18:45:17:	Initializing Trainer
2023-08-05 18:45:17:	Started training
2023-08-05 18:46:33:	Timestep:2000	Evaluation return -16.194995
2023-08-05 18:49:06:	Timestep:3000	Evaluation return -10.606696
2023-08-05 18:51:14:	Timestep:4000	Evaluation return -10.214528
2023-08-05 18:53:10:	Timestep:5000	Evaluation return -10.057279
2023-08-05 18:55:08:	Timestep:6000	Evaluation return -10.253123
2023-08-05 18:57:18:	Timestep:7000	Evaluation return -10.443079
2023-08-05 18:59:23:	Timestep:8000	Evaluation return -10.323046
2023-08-05 19:01:40:	Timestep:9000	Evaluation return -9.956303
2023-08-05 19:03:55:	Timestep:10000	Evaluation return -10.411875
2023-08-05 19:06:00:	Timestep:11000	Evaluation return -10.242870
2023-08-05 19:08:09:	Timestep:12000	Evaluation return -10.403639
2023-08-05 19:10:19:	Timestep:13000	Evaluation return -10.143276
2023-08-05 19:12:29:	Timestep:14000	Evaluation return -10.185414
2023-08-05 19:14:50:	Timestep:15000	Evaluation return -10.366254
2023-08-05 19:17:09:	Timestep:16000	Evaluation return -10.210489
2023-08-05 19:19:13:	Timestep:17000	Evaluation return -10.203081
2023-08-05 19:21:36:	Timestep:18000	Evaluation return -10.466157
2023-08-05 19:24:11:	Timestep:19000	Evaluation return -9.908375
2023-08-05 19:27:05:	Timestep:20000	Evaluation return -10.248812
2023-08-05 19:30:01:	Timestep:21000	Evaluation return -10.509854
2023-08-05 19:32:48:	Timestep:22000	Evaluation return -10.583222
2023-08-05 19:35:37:	Timestep:23000	Evaluation return -11.514383
2023-08-05 19:38:25:	Timestep:24000	Evaluation return -10.668739
2023-08-05 19:41:14:	Timestep:25000	Evaluation return -10.154972
2023-08-05 19:44:20:	Timestep:26000	Evaluation return -10.146985
2023-08-05 19:47:13:	Timestep:27000	Evaluation return -10.247210
2023-08-05 19:50:09:	Timestep:28000	Evaluation return -10.543270
2023-08-05 19:53:02:	Timestep:29000	Evaluation return -10.116325
2023-08-05 19:56:04:	Timestep:30000	Evaluation return -10.182759
2023-08-05 19:59:04:	Timestep:31000	Evaluation return -10.551624
2023-08-05 20:02:06:	Timestep:32000	Evaluation return -10.136598
2023-08-05 20:05:12:	Timestep:33000	Evaluation return -10.349897
2023-08-05 20:07:59:	Timestep:34000	Evaluation return -10.286550
2023-08-05 20:10:48:	Timestep:35000	Evaluation return -10.972691
2023-08-05 20:13:38:	Timestep:36000	Evaluation return -10.456453
2023-08-05 20:16:28:	Timestep:37000	Evaluation return -10.663628
2023-08-05 20:19:15:	Timestep:38000	Evaluation return -10.471739
2023-08-05 20:22:04:	Timestep:39000	Evaluation return -10.432184
2023-08-05 20:25:11:	Timestep:40000	Evaluation return -10.355281
2023-08-05 20:27:57:	Timestep:41000	Evaluation return -10.231129
2023-08-05 20:30:56:	Timestep:42000	Evaluation return -10.531459
2023-08-05 20:33:49:	Timestep:43000	Evaluation return -10.540214
2023-08-05 20:37:02:	Timestep:44000	Evaluation return -10.411154
2023-08-05 20:39:56:	Timestep:45000	Evaluation return -10.288905
2023-08-05 20:42:43:	Timestep:46000	Evaluation return -10.399198
2023-08-05 20:45:37:	Timestep:47000	Evaluation return -10.451670
2023-08-05 20:48:27:	Timestep:48000	Evaluation return -10.373152
2023-08-05 20:51:20:	Timestep:49000	Evaluation return -10.419143
2023-08-05 20:54:07:	Timestep:50000	Evaluation return -10.967835
2023-08-05 20:57:03:	Timestep:51000	Evaluation return -10.355428
2023-08-05 20:59:52:	Timestep:52000	Evaluation return -10.499405
2023-08-05 21:02:36:	Timestep:53000	Evaluation return -10.709354
2023-08-05 21:05:22:	Timestep:54000	Evaluation return -10.580232
2023-08-05 21:08:16:	Timestep:55000	Evaluation return -10.271674
2023-08-05 21:11:03:	Timestep:56000	Evaluation return -10.415701
2023-08-05 21:13:48:	Timestep:57000	Evaluation return -10.538085
2023-08-05 21:16:42:	Timestep:58000	Evaluation return -10.541135
2023-08-05 21:19:30:	Timestep:59000	Evaluation return -10.009599
2023-08-05 21:22:19:	Timestep:60000	Evaluation return -10.673412
2023-08-05 21:25:05:	Timestep:61000	Evaluation return -10.309082
2023-08-05 21:27:44:	Timestep:62000	Evaluation return -10.903677
2023-08-05 21:30:31:	Timestep:63000	Evaluation return -10.469459
2023-08-05 21:33:07:	Timestep:64000	Evaluation return -10.669058
2023-08-05 21:35:49:	Timestep:65000	Evaluation return -10.227768
2023-08-05 21:38:31:	Timestep:66000	Evaluation return -10.158274
2023-08-05 21:41:12:	Timestep:67000	Evaluation return -10.750583
2023-08-05 21:44:48:	Timestep:68000	Evaluation return -10.713793
2023-08-05 21:47:14:	Timestep:69000	Evaluation return -10.628174
2023-08-05 21:49:21:	Timestep:70000	Evaluation return -10.624721
2023-08-05 21:51:20:	Timestep:71000	Evaluation return -10.672223
2023-08-05 21:53:20:	Timestep:72000	Evaluation return -10.663753
2023-08-05 21:55:25:	Timestep:73000	Evaluation return -10.480999
2023-08-05 21:57:26:	Timestep:74000	Evaluation return -10.734780
2023-08-05 21:59:30:	Timestep:75000	Evaluation return -10.527016
2023-08-05 22:02:04:	Timestep:76000	Evaluation return -10.756325
2023-08-05 22:04:35:	Timestep:77000	Evaluation return -10.681336
2023-08-05 22:06:58:	Timestep:78000	Evaluation return -10.737207
2023-08-05 22:09:30:	Timestep:79000	Evaluation return -10.955386
2023-08-05 22:12:06:	Timestep:80000	Evaluation return -10.768456
2023-08-05 22:14:40:	Timestep:81000	Evaluation return -11.036517
2023-08-05 22:17:11:	Timestep:82000	Evaluation return -10.975200
2023-08-05 22:19:41:	Timestep:83000	Evaluation return -11.151721
2023-08-05 22:22:24:	Timestep:84000	Evaluation return -10.625996
2023-08-05 22:25:09:	Timestep:85000	Evaluation return -10.492797
2023-08-05 22:27:42:	Timestep:86000	Evaluation return -10.407103
2023-08-05 22:30:20:	Timestep:87000	Evaluation return -10.405514
2023-08-05 22:33:00:	Timestep:88000	Evaluation return -10.572327
2023-08-05 22:35:37:	Timestep:89000	Evaluation return -10.332113
2023-08-05 22:38:21:	Timestep:90000	Evaluation return -10.622733
2023-08-05 22:41:17:	Timestep:91000	Evaluation return -10.003429
2023-08-05 22:44:00:	Timestep:92000	Evaluation return -10.570256
2023-08-05 22:46:47:	Timestep:93000	Evaluation return -10.231535
2023-08-05 22:49:30:	Timestep:94000	Evaluation return -10.373771
2023-08-05 22:52:19:	Timestep:95000	Evaluation return -10.214736
2023-08-05 22:55:03:	Timestep:96000	Evaluation return -10.614138
2023-08-05 22:57:55:	Timestep:97000	Evaluation return -9.985942
2023-08-05 23:00:41:	Timestep:98000	Evaluation return -10.485756
2023-08-05 23:03:24:	Timestep:99000	Evaluation return -10.554347
2023-08-05 23:06:03:	Timestep:100000	Evaluation return -10.561281
