#{"t_start": 1691331699.3645763, "env_id": null}
r,l,t,sim_duration,oc_costs,weighted_lateness,completion_score,schedule,total_reward
-66.227399,813,19.191665,42.8246,87.6774,1205.0656,1.0,"[357, 460, 340, 69, 461, 85, 307, 343, 469, 470, 153, 359, 35, 474, 346, 391, 256, 71, 367, 87, 408, 375, 77, 368, 259, 80, 37, 187, 426, 349, 308, 170, 373, 120, 93, 411, 493, 83, 103, 43, 351, 260, 316, 378, 155, 442, 46, 52, 122, 323, 273, 172, 476, 18, 96, 49, 163, 356, 381, 191, 124, 105, 166, 238, 205, 318, 495, 100, 167, 222, 265, 428, 290, 327, 393, 0, 320, 268, 180, 224, 136, 397, 182, 274, 20, 186, 383, 129, 229, 206, 232, 279, 269, 139, 329, 444, 112, 130, 27, 292, 115, 502, 235, 240, 4, 385, 194, 210, 134, 479, 116, 53, 333, 430, 390, 299, 484, 28, 506, 449, 6, 400, 146, 280, 336, 507, 488, 10, 302, 338, 284, 402, 492, 247, 32, 435, 148, 438, 407, 286, 452, 441, 417, 251, 12, 252, 304, 61, 152, 213, 454, 421, 215, 220, 14, 196, 457, 63, 424, 198, 203, 65]",-87.6774
-9.788484,690,23.875593,40.9842,85.6574,1178.9273,1.0,"[493, 120, 136, 324, 121, 496, 170, 188, 327, 476, 126, 392, 502, 138, 221, 205, 479, 191, 146, 459, 443, 147, 172, 151, 0, 341, 394, 408, 273, 180, 206, 330, 505, 462, 17, 426, 276, 128, 192, 484, 183, 289, 103, 507, 2, 131, 343, 153, 69, 6, 429, 238, 469, 410, 398, 35, 332, 487, 135, 224, 336, 374, 256, 491, 209, 155, 51, 86, 471, 196, 378, 445, 357, 184, 279, 36, 346, 338, 229, 199, 20, 10, 87, 306, 234, 280, 400, 241, 12, 257, 379, 285, 473, 202, 248, 431, 54, 70, 42, 235, 45, 16, 360, 251, 27, 260, 94, 76, 287, 448, 252, 292, 29, 384, 404, 97, 105, 61, 49, 349, 101, 385, 81, 31, 308, 84, 352, 299, 434, 407, 316, 63, 356, 388, 302, 318, 213, 112, 304, 322, 438, 65, 452, 441, 417, 216, 453, 367, 115, 456, 220, 163, 421, 369, 164, 118, 265, 423, 268, 167, 373, 270]",-85.6574
-9.573178,764,28.597564,45.5181,89.7945,1708.7859,1.0,"[221, 290, 17, 307, 224, 291, 0, 239, 229, 309, 374, 19, 299, 69, 234, 235, 357, 494, 301, 27, 3, 240, 391, 426, 378, 30, 459, 273, 31, 7, 71, 359, 247, 204, 171, 379, 429, 119, 409, 462, 274, 187, 35, 323, 52, 384, 303, 279, 123, 496, 393, 76, 442, 341, 80, 249, 84, 316, 153, 103, 190, 206, 319, 397, 476, 86, 327, 386, 280, 430, 255, 252, 10, 343, 53, 126, 389, 136, 13, 434, 445, 172, 367, 193, 209, 14, 283, 104, 369, 321, 347, 258, 129, 438, 400, 138, 448, 411, 286, 131, 372, 330, 156, 87, 502, 180, 403, 478, 261, 407, 440, 133, 146, 505, 265, 36, 93, 196, 148, 333, 42, 112, 268, 198, 349, 96, 163, 484, 270, 115, 417, 203, 334, 61, 152, 488, 47, 338, 99, 164, 452, 491, 118, 182, 421, 50, 352, 62, 213, 168, 507, 469, 424, 471, 67, 455, 215, 185, 475, 354, 458, 219]",-89.7945
-8.723606,663,33.520227,40.2521,86.1241,968.1307,1.0,"[408, 188, 425, 1, 191, 411, 255, 358, 427, 17, 273, 360, 431, 493, 290, 257, 417, 4, 323, 460, 192, 419, 275, 391, 495, 307, 367, 204, 423, 443, 434, 20, 325, 153, 278, 35, 368, 208, 260, 221, 375, 27, 372, 462, 308, 170, 341, 196, 211, 119, 436, 137, 378, 394, 441, 6, 265, 444, 85, 239, 328, 267, 51, 103, 316, 343, 28, 270, 200, 36, 123, 69, 33, 281, 398, 88, 319, 333, 291, 283, 202, 448, 335, 476, 288, 241, 138, 43, 469, 472, 322, 347, 93, 502, 156, 46, 478, 401, 125, 379, 48, 338, 105, 404, 172, 10, 97, 473, 406, 101, 224, 246, 299, 70, 451, 504, 12, 384, 509, 300, 15, 484, 387, 230, 163, 453, 305, 165, 77, 53, 389, 251, 232, 180, 458, 349, 235, 353, 488, 79, 168, 129, 213, 490, 254, 183, 216, 130, 83, 112, 185, 115, 354, 135, 146, 148, 61, 118, 150, 64, 219, 65]",-86.1241
-8.277237,777,38.001303,38.0075,80.2746,1104.3107,1.0,"[341, 51, 18, 102, 54, 324, 442, 19, 409, 357, 343, 61, 327, 137, 425, 104, 63, 346, 171, 238, 65, 445, 307, 34, 330, 27, 410, 429, 222, 289, 349, 139, 30, 112, 154, 459, 113, 352, 172, 448, 31, 430, 69, 476, 309, 117, 332, 334, 494, 0, 180, 291, 182, 375, 391, 156, 355, 4, 452, 434, 120, 85, 359, 205, 462, 337, 453, 495, 273, 123, 299, 6, 188, 377, 185, 438, 300, 393, 256, 417, 303, 224, 276, 367, 189, 370, 441, 419, 125, 71, 229, 457, 478, 194, 10, 371, 424, 502, 234, 11, 277, 76, 88, 240, 259, 146, 397, 80, 147, 37, 381, 316, 237, 206, 93, 14, 505, 129, 317, 84, 508, 196, 210, 131, 322, 262, 96, 469, 150, 246, 163, 200, 133, 101, 470, 202, 400, 473, 384, 249, 166, 484, 265, 403, 252, 169, 387, 266, 43, 270, 280, 46, 405, 50, 389, 213, 489, 492, 284, 217, 219, 286]",-80.2746
-8.838127,641,41.909856,39.9994,85.58,1178.315,1.0,"[153, 341, 238, 171, 155, 343, 119, 52, 408, 103, 240, 347, 123, 173, 459, 35, 163, 323, 18, 53, 246, 164, 411, 180, 169, 0, 273, 36, 493, 375, 105, 125, 276, 85, 426, 461, 442, 188, 496, 251, 112, 358, 255, 43, 113, 4, 277, 325, 118, 46, 205, 391, 20, 307, 252, 136, 330, 129, 417, 50, 181, 87, 477, 6, 221, 378, 258, 131, 68, 469, 308, 419, 479, 502, 208, 134, 381, 61, 359, 422, 394, 64, 471, 138, 66, 429, 280, 445, 261, 333, 504, 475, 335, 349, 223, 384, 339, 285, 191, 71, 185, 432, 209, 316, 352, 76, 397, 286, 230, 387, 265, 317, 356, 290, 80, 93, 434, 320, 192, 291, 390, 268, 10, 508, 448, 233, 271, 436, 13, 367, 82, 484, 441, 213, 97, 14, 370, 401, 215, 236, 220, 451, 27, 373, 402, 29, 489, 99, 453, 146, 407, 457, 196, 148, 299, 33, 302, 199, 490, 151, 305, 202]",-85.58
-8.845,667,45.970004,42.3069,86.2749,1273.3082,1.0,"[391, 290, 221, 188, 393, 292, 459, 205, 191, 255, 358, 224, 17, 137, 206, 194, 230, 408, 307, 259, 299, 462, 323, 103, 300, 234, 210, 410, 170, 1, 305, 360, 260, 327, 469, 196, 340, 236, 154, 470, 308, 398, 374, 426, 139, 51, 69, 474, 367, 200, 4, 342, 368, 442, 494, 20, 119, 273, 417, 316, 372, 330, 104, 476, 201, 239, 377, 318, 419, 53, 275, 112, 6, 213, 27, 123, 320, 478, 379, 347, 423, 445, 86, 215, 114, 28, 34, 400, 495, 241, 61, 429, 125, 219, 63, 87, 449, 277, 384, 116, 402, 156, 485, 246, 386, 265, 32, 36, 65, 71, 430, 172, 163, 487, 250, 502, 452, 280, 406, 166, 146, 169, 76, 149, 42, 453, 180, 458, 94, 267, 181, 269, 81, 45, 129, 492, 389, 284, 252, 434, 504, 333, 336, 186, 10, 131, 96, 151, 82, 50, 349, 286, 338, 438, 11, 352, 135, 508, 99, 441, 16, 355]",-86.2749
-9.326621,554,49.478626,45.0628,91.7124,1425.2537,1.0,"[204, 256, 170, 52, 258, 208, 238, 324, 172, 136, 261, 477, 326, 408, 53, 307, 442, 341, 241, 138, 180, 102, 494, 391, 35, 210, 248, 496, 478, 221, 182, 120, 249, 374, 86, 184, 502, 309, 444, 253, 17, 1, 378, 61, 425, 188, 329, 122, 223, 290, 265, 268, 460, 429, 343, 87, 358, 62, 381, 333, 213, 448, 68, 65, 37, 461, 229, 506, 4, 334, 430, 484, 95, 233, 20, 359, 154, 43, 338, 217, 126, 384, 272, 346, 269, 220, 451, 190, 393, 97, 236, 487, 435, 47, 99, 5, 509, 105, 70, 386, 194, 436, 469, 275, 291, 390, 440, 278, 453, 112, 156, 471, 77, 492, 456, 410, 115, 80, 398, 129, 281, 117, 475, 82, 131, 27, 48, 134, 196, 30, 163, 284, 31, 166, 168, 10, 400, 13, 316, 286, 403, 417, 200, 15, 203, 299, 318, 405, 300, 349, 353, 367, 305, 420, 355, 320, 146, 149, 369, 152, 422, 373]",-91.7124
-8.758171,684,54.194635,44.4025,86.9308,1488.6574,1.0,"[35, 323, 443, 425, 325, 37, 392, 255, 429, 330, 1, 170, 257, 445, 43, 69, 187, 430, 172, 205, 51, 448, 47, 4, 394, 494, 306, 49, 70, 290, 238, 434, 190, 333, 335, 86, 102, 208, 7, 53, 337, 192, 358, 340, 261, 496, 76, 154, 272, 81, 87, 437, 375, 221, 309, 451, 477, 119, 440, 82, 378, 398, 265, 240, 409, 17, 268, 292, 95, 210, 454, 459, 456, 246, 502, 155, 123, 96, 360, 270, 180, 101, 136, 274, 105, 126, 249, 380, 182, 506, 19, 224, 10, 508, 11, 277, 196, 478, 367, 462, 184, 128, 410, 139, 484, 199, 370, 342, 253, 213, 14, 280, 401, 130, 488, 346, 112, 404, 491, 229, 407, 383, 201, 283, 316, 233, 115, 215, 118, 61, 134, 220, 371, 386, 319, 236, 417, 469, 63, 163, 287, 472, 388, 164, 146, 321, 421, 349, 475, 352, 65, 299, 169, 27, 149, 423, 301, 354, 152, 305, 30, 31]",-86.9308
-8.443902,637,58.488917,39.1091,84.6018,1011.8419,1.0,"[154, 357, 205, 238, 360, 155, 460, 442, 208, 163, 392, 166, 187, 445, 240, 168, 426, 340, 448, 247, 209, 190, 461, 307, 85, 52, 323, 469, 394, 342, 471, 137, 102, 477, 170, 475, 367, 250, 193, 309, 87, 327, 213, 398, 18, 368, 0, 409, 374, 54, 93, 172, 255, 216, 254, 451, 316, 378, 493, 290, 20, 219, 427, 68, 347, 120, 328, 373, 221, 96, 180, 431, 35, 4, 139, 410, 273, 400, 453, 319, 292, 100, 104, 333, 7, 458, 259, 379, 182, 27, 496, 36, 334, 322, 184, 196, 42, 70, 276, 28, 338, 479, 404, 61, 223, 435, 45, 278, 33, 123, 437, 200, 384, 349, 76, 405, 49, 62, 502, 202, 81, 10, 280, 261, 353, 386, 283, 439, 124, 288, 229, 265, 66, 11, 485, 146, 505, 390, 268, 82, 147, 299, 355, 233, 509, 14, 151, 128, 112, 115, 301, 487, 271, 236, 417, 305, 131, 421, 116, 491, 133, 423]",-84.6018
