2023-08-07 13:00:05:	logging to outputs/2023-08-07/13-00-03/redq/Training/Logs\2023-08-07-13-00-1-7152
2023-08-07 13:00:05:	saved parameters.txt to outputs/2023-08-07/13-00-03/redq/Training/Logs\2023-08-07-13-00-1-7152\parameters.txt
2023-08-07 13:00:05:	Initializing Environment
2023-08-07 13:00:05:	Initializing Agent
2023-08-07 13:00:05:	Initializing Trainer
2023-08-07 13:00:05:	Started training
2023-08-07 13:30:06:	Timestep:2000	Evaluation return -14.437991
2023-08-07 14:28:41:	Timestep:4000	Evaluation return -10.536324
2023-08-07 15:33:02:	Timestep:6000	Evaluation return -10.653512
2023-08-07 16:40:33:	Timestep:8000	Evaluation return -10.667119
2023-08-07 17:48:27:	Timestep:10000	Evaluation return -10.007842
2023-08-07 19:02:54:	Timestep:12000	Evaluation return -10.935563
2023-08-07 20:22:48:	Timestep:14000	Evaluation return -10.973483
2023-08-07 21:45:21:	Timestep:16000	Evaluation return -9.264999
2023-08-07 23:07:08:	Timestep:18000	Evaluation return -11.191832
2023-08-08 00:32:57:	Timestep:20000	Evaluation return -10.022845
2023-08-08 02:03:03:	Timestep:22000	Evaluation return -9.673877
2023-08-08 03:34:52:	Timestep:24000	Evaluation return -10.337654
2023-08-08 05:09:11:	Timestep:26000	Evaluation return -11.197174
2023-08-08 06:40:00:	Timestep:28000	Evaluation return -7.731329
2023-08-08 08:09:59:	Timestep:30000	Evaluation return -5.209906
2023-08-08 09:43:15:	Timestep:32000	Evaluation return -4.009063
2023-08-08 11:21:39:	Timestep:34000	Evaluation return -2.902344
2023-08-08 13:01:08:	Timestep:36000	Evaluation return -3.196488
