2023-08-07 18:27:11:	logging to outputs/2023-08-07/18-27-08/sac_discrete/Training/Logs\2023-08-07-18-27-0-11552
2023-08-07 18:27:11:	saved parameters.txt to outputs/2023-08-07/18-27-08/sac_discrete/Training/Logs\2023-08-07-18-27-0-11552\parameters.txt
2023-08-07 18:27:11:	Initializing Environment
2023-08-07 18:27:11:	Initializing Buffer
2023-08-07 18:27:11:	Initializing Agent
2023-08-07 18:27:11:	Initializing Trainer
2023-08-07 18:27:11:	Started training
2023-08-07 18:28:02:	Timestep:2000	Evaluation return -16.077364
2023-08-07 18:29:39:	Timestep:3000	Evaluation return -9.417947
2023-08-07 18:31:16:	Timestep:4000	Evaluation return -9.487107
2023-08-07 18:32:59:	Timestep:5000	Evaluation return -9.429696
2023-08-07 18:34:46:	Timestep:6000	Evaluation return -9.133496
2023-08-07 18:36:28:	Timestep:7000	Evaluation return -9.342946
2023-08-07 18:38:04:	Timestep:8000	Evaluation return -8.830180
2023-08-07 18:39:50:	Timestep:9000	Evaluation return -9.221605
2023-08-07 18:41:37:	Timestep:10000	Evaluation return -8.963432
2023-08-07 18:43:36:	Timestep:11000	Evaluation return -9.086418
2023-08-07 18:45:30:	Timestep:12000	Evaluation return -9.177392
2023-08-07 18:47:34:	Timestep:13000	Evaluation return -8.954968
2023-08-07 18:49:48:	Timestep:14000	Evaluation return -9.011469
2023-08-07 18:52:00:	Timestep:15000	Evaluation return -9.050022
2023-08-07 18:54:11:	Timestep:16000	Evaluation return -9.242644
2023-08-07 18:56:29:	Timestep:17000	Evaluation return -9.372054
2023-08-07 18:58:50:	Timestep:18000	Evaluation return -8.956369
2023-08-07 19:01:03:	Timestep:19000	Evaluation return -9.204559
2023-08-07 19:03:21:	Timestep:20000	Evaluation return -9.299511
2023-08-07 19:05:48:	Timestep:21000	Evaluation return -9.028313
2023-08-07 19:08:05:	Timestep:22000	Evaluation return -9.349549
2023-08-07 19:10:19:	Timestep:23000	Evaluation return -9.256072
