2023-08-08 13:56:41:	logging to outputs/2023-08-08/13-56-37/sac_discrete_optuna/Training/Logs\2023-08-08-13-56-0-10328
2023-08-08 13:56:41:	saved parameters.txt to outputs/2023-08-08/13-56-37/sac_discrete_optuna/Training/Logs\2023-08-08-13-56-0-10328\parameters.txt
2023-08-08 13:56:41:	Initializing Environment
2023-08-08 13:56:41:	Initializing Buffer
2023-08-08 13:56:41:	Initializing Agent
2023-08-08 13:56:41:	Initializing Trainer
2023-08-08 13:56:41:	Started training
2023-08-08 13:57:41:	Timestep:2000	Evaluation return -14.288081
2023-08-08 13:59:00:	Timestep:3000	Evaluation return -10.863370
2023-08-08 14:00:22:	Timestep:4000	Evaluation return -10.497471
2023-08-08 14:01:45:	Timestep:5000	Evaluation return -10.747734
2023-08-08 14:03:28:	Timestep:6000	Evaluation return -10.704028
2023-08-08 14:04:49:	Timestep:7000	Evaluation return -10.257117
2023-08-08 14:06:46:	Timestep:8000	Evaluation return -10.789763
2023-08-08 14:08:35:	Timestep:9000	Evaluation return -10.727850
2023-08-08 14:10:08:	Timestep:10000	Evaluation return -11.362533
2023-08-08 14:11:30:	Timestep:11000	Evaluation return -10.493330
2023-08-08 14:13:10:	Timestep:12000	Evaluation return -10.434638
2023-08-08 14:14:30:	Timestep:13000	Evaluation return -10.298369
2023-08-08 14:15:51:	Timestep:14000	Evaluation return -10.666353
2023-08-08 14:17:46:	Timestep:15000	Evaluation return -10.808866
2023-08-08 14:20:13:	Timestep:16000	Evaluation return -10.543736
2023-08-08 14:21:35:	Timestep:17000	Evaluation return -10.386453
2023-08-08 14:22:55:	Timestep:18000	Evaluation return -10.664887
2023-08-08 14:24:26:	Timestep:19000	Evaluation return -10.444978
2023-08-08 14:26:22:	Timestep:20000	Evaluation return -10.188501
2023-08-08 14:28:07:	Timestep:21000	Evaluation return -10.352196
2023-08-08 14:29:37:	Timestep:22000	Evaluation return -10.717727
2023-08-08 14:31:15:	Timestep:23000	Evaluation return -10.480753
2023-08-08 14:32:45:	Timestep:24000	Evaluation return -11.045315
2023-08-08 14:34:45:	Timestep:25000	Evaluation return -10.595860
2023-08-08 14:36:08:	Timestep:26000	Evaluation return -10.301418
2023-08-08 14:37:30:	Timestep:27000	Evaluation return -10.218989
2023-08-08 14:39:20:	Timestep:28000	Evaluation return -10.442994
2023-08-08 14:41:14:	Timestep:29000	Evaluation return -10.678326
2023-08-08 14:42:57:	Timestep:30000	Evaluation return -10.363853
2023-08-08 14:44:53:	Timestep:31000	Evaluation return -10.700132
2023-08-08 14:46:24:	Timestep:32000	Evaluation return -10.654703
2023-08-08 14:48:09:	Timestep:33000	Evaluation return -10.386011
2023-08-08 14:49:33:	Timestep:34000	Evaluation return -10.578680
2023-08-08 14:51:17:	Timestep:35000	Evaluation return -10.391887
2023-08-08 14:53:07:	Timestep:36000	Evaluation return -10.994518
